question,document
"In the offline-rag-evaluation notebook, how can I print the full explanation from the LLM judge without ""...""?",641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to normalize each vector in a Pandas Series?,5039707c1a
Is there a simple Pandas apply example for vector normalization?,5039707c1a
How do I create a new column with normalized vectors from an existing one?,5039707c1a
What function can I use with numpy to scale each vector by its norm in a DataFrame?,5039707c1a
How can I get the 75th percentile from a pandas DataFrame column?,b4c8ac5a0c
What’s the pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How do I find a column percentile in pandas using quantile()?,b4c8ac5a0c
Can I compute the 75% value for a DataFrame column with pandas?,b4c8ac5a0c
What code do I use to get the 0.75 quantile of df['col'] in pandas?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What’s the command to force-delete all Docker images on my machine?,66ccbb7da0
How can I remove every Docker volume in one shot using the terminal?,66ccbb7da0
"Is there a quick way to clear all containers, images, and volumes in Docker without doing them one by one?",66ccbb7da0
What commands should I run to fully clean up Docker stuff from the command line?,66ccbb7da0
How can I make sure a user only leaves feedback once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to True after I click a feedback button?,2e729f1271
"In my app, I want the feedback buttons disabled when the text is submitted—what am I missing with session state?",2e729f1271
Is there a known fix for Streamlit session attributes being reassigned after pressing +1 or -1?,2e729f1271
Where can I find the solution for the issue where `st.session.submitted` changes again even after feedback is already given?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when starting my app with docker-compose, even though it works locally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails to create the container for a Streamlit app?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app to run properly with docker-compose?,e8df9f0d12
How can I fix the OCI runtime create failed error when launching Streamlit with docker-compose?,e8df9f0d12
"After changing docker-compose for Streamlit, what's the right command to rebuild and start everything again?",e8df9f0d12
"Can the capstone be done in a team, or does each person need their own project?",0fab61eca2
"If I brainstorm with classmates, is that allowed for the capstone?",0fab61eca2
Can two people build one system and submit it separately for the capstone?,0fab61eca2
What counts as an individual capstone project if we work on something together?,0fab61eca2
"If my project is shared with someone else, how does it need to be split so it still passes?",0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
Can I skip the first submission window and still submit in the second one?,d5fc98925d
"If I submit two projects just for practice, do they have to be on different datasets and use different problem statements?",d5fc98925d
"Can I use the competition as my capstone project, or is that not allowed?",e892d44e42
"If I join the competition with a team, does that replace the individual capstone requirement?",e892d44e42
Is the capstone project meant to be done alone even if I participate in the contest with others?,e892d44e42
Can I team up for the math-kaggle-llm-competition and still have a separate capstone submission?,e892d44e42
"Does taking part in the competition count toward the capstone, or do I still need to do an individual project?",e892d44e42
How will my capstone project be graded in this course?,9a2e2d2008
Who reviews the project after I submit it?,9a2e2d2008
Do I also have to grade other students' capstone projects?,9a2e2d2008
What happens if I don't do the required peer reviews?,9a2e2d2008
How is the final score for the capstone calculated?,9a2e2d2008
"After the project deadline is over, how do we get assigned the projects we need to review or grade?",eae0fb50aa
Will there be some kind of list or sheet shared once submissions close for the project reviews?,eae0fb50aa
How many projects does each participant have to check after the deadline?,eae0fb50aa
"Is the project assignment for grading done automatically after the submission deadline, or is it sent out manually?",eae0fb50aa
When should we expect to receive the review/grading assignments for the capstone projects?,eae0fb50aa
"I already turned in my capstone project, so why am I still not able to see anything to review?",a8a7fef016
"After the submission deadline ends, how do project reviews get assigned to us?",a8a7fef016
"Can I pick which projects I want to evaluate, or is it assigned automatically?",a8a7fef016
Is there a way to review projects before the review list is released?,a8a7fef016
When should I expect projects to show up for evaluation after I submit mine?,a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with example datasets I can use for the project?,e76a70cde3
Do you have any tips or guidelines for picking a dataset for the capstone?,e76a70cde3
I'm stuck on project ideas — where should I check for inspiration?,e76a70cde3
Is there a GitHub link that lists possible ideas and datasets for the project?,e76a70cde3
"Do I actually need Airflow or Mage for the capstone ingestion part, or is a simple Python script enough?",d4f7c08ea1
"Would a Jupyter notebook count for the ingestion pipeline in the capstone, or do I need a real pipeline tool?",d4f7c08ea1
"If I use plain Python to load and index the data, do I still get full points for that criterion?",d4f7c08ea1
When is it worth using an orchestrator like Kestra in the capstone project instead of just scripting it?,d4f7c08ea1
"Should I add an orchestration tool just to meet the project requirements, or only if my data updates regularly?",d4f7c08ea1
How can I evaluate a recommender-style RAG project when I don’t have any clear ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic test queries for a ranking RAG system from item descriptions?,9b0e2d6a47
"If I’m checking retrieval quality in a recommender setup, should I use hit rate, MRR, or NDCG?",9b0e2d6a47
How do people use an LLM as a judge to score the output of a RAG recommender end to end?,9b0e2d6a47
"For ranking-type RAG problems where more than one answer is okay, why is NDCG often a better metric than hit rate?",9b0e2d6a47
How should I chunk a really big PDF corpus without overthinking it first?,6f2a8b3d10
"What’s a simple chunking setup to start with for long docs, and how do I know if it’s working?",6f2a8b3d10
Is it worth using LLMs to split documents into sections instead of fixed chunks?,6f2a8b3d10
"Should I add summaries to chunks for retrieval, or is that overkill?",6f2a8b3d10
"For legal or financial PDFs, do I need BM25 with dense search, and what tools can help parse the files first?",6f2a8b3d10
What do you mean by reproducibility for the capstone project — do reviewers need my API keys to run it?,e5d8a2c761
Should I put real API keys or service credentials in the repo so someone can recreate the project?,e5d8a2c761
How is a reviewer supposed to rebuild the search index and dataset setup from my project?,e5d8a2c761
"Do I need to include an .env file with actual values, or is there a safer way to share the config?",e5d8a2c761
What should I do about model choice and dependency versions so other people can run the project without issues?,e5d8a2c761
"Can I do the homework or final project in a language other than Python, like JavaScript, Go, or Rust?",ea815eb858
"If I pick a non-Python stack for the capstone, what kind of documentation do I need to include?",ea815eb858
"Will the course reviewer expect the project to be in Python, or can they handle other languages too?",ea815eb858
"What should my README explain if I submit a project in Java, Scala, C#, R, or some other language?",ea815eb858
Are there any special requirements to make a non-Python homework submission easy to run and review?,ea815eb858
Where can I check out past LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with previous LLM Zoomcamp projects from 2024 and 2025?,930286278d
Can I see example capstone repos from earlier LLM Zoomcamp cohorts?,930286278d
Where are the submitted LLM Zoomcamp project repositories listed?,930286278d
Do you have links to past LLM Zoomcamp project examples so I can gauge the expected scope?,930286278d
Do I need to reserve my capstone idea before I start working on it?,897a350476
Should I announce my project topic somewhere before beginning the capstone?,897a350476
Can I just pick a project idea and start without asking for approval first?,897a350476
Is it okay if my capstone topic is similar to another student's project?,897a350476
"If I want feedback on my project idea, where should I ask?",897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use some other interface?",7318a90b14
"Would a CLI, Slack app, or notebook count as a valid project interface?",7318a90b14
Are there any rules about how the end user should access the capstone project?,7318a90b14
"If I use a bot or other custom interface, does the course show how to build it?",7318a90b14
What’s a good tool to pull text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned images, what can I use instead of normal text extraction?",d8b28c47a0
Is there a recommended library in the course for converting documents to Markdown or JSON?,d8b28c47a0
Which OCR option should I try if I don’t want to do the scanning locally?,d8b28c47a0
What tools do people usually use when extracting text from different document types for RAG?,d8b28c47a0
Can I reuse the workshop content in my own capstone project?,d850a0e7ea
Is it okay to use dlt from this workshop in other Zoomcamp projects too?,d850a0e7ea
Can I take ideas or materials from the workshop and apply them to a different project?,d850a0e7ea
"Since dlt is open source, am I allowed to use it directly in my own work?",d850a0e7ea
"If I have questions while using the workshop stuff in a project, can I just ask about it?",d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to start a filesystem-to-duckdb dlt pipeline?,6bceeebf04
I'm trying to load from cloud with dlt — how do I initialize the project?,6bceeebf04
Which dlt init command sets up a filesystem source with DuckDB?,6bceeebf04
Where should I begin if I want to follow the dlt filesystem tutorial for cloud loading?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"What should I check if my pipeline says I need to call `db.create_table(notion_pages___homework, data)` first?",0407213397
"I renamed the table to `homework`, but why is the code still looking for `employee_handbook` somewhere?",0407213397
How do I fix the `FileNotFoundError` for `notion_pages___homework` in the dlt workshop?,0407213397
"If the table name changed, where else do I need to update `employee_handbook` so `db.open_table` works?",0407213397
Why am I getting `FileNotFoundError: Table notion_pages___homework does not exist` when I run `main()`?,e95bfafc0e
What should I change if `db.open_table()` says the `notion_pages___homework` table is missing?,e95bfafc0e
"In the dlt workshop code, which table name should I use on line 3 to avoid this error?",e95bfafc0e
"How do I fix the issue where the script asks me to call `db.create_table(notion_pages___homework, data)`?",e95bfafc0e
Is there a specific table I need to open in `main()` for the Notion homework example?,e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a way to list all db tables with dlt?,e394e6f738
What method shows the table names in the database?,e394e6f738
How do I get a list of every table in the db?,e394e6f738
Which function should I call to see all tables?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse right now?,cd19f122f3
Is there any built-in connector for StarRocks in dlt?,cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
"Are ClickHouse and StarRocks supported by dlt in any way, or not yet?",cd19f122f3
Why am I getting a 401 Unauthorized when my notebook calls the Notion search endpoint?,0dfba07ace
"How do I fix the ""notebook does not have secret access"" error in the dlt workshop when connecting to Notion?",0dfba07ace
What should I check first if my Notion API request keeps failing with an authorization error?,0dfba07ace
"Could this be caused by an expired Notion token, and how do I know if I need to regenerate it?",0dfba07ace
Are there any permissions or endpoint settings I should verify before using the Notion API in the notebook?,0dfba07ace
How do I get the newer requests version from the GitHub source instead of the one pip keeps picking?,4b30b918bc
"Why am I seeing a 401 Client Error when trying to use the key, and what should I check first?",4b30b918bc
Is there a pip command to force install requests 2.32.3 for lancedb?,4b30b918bc
My install keeps giving me requests 2.28 even though I need 2.32+ — how can I fix that?,4b30b918bc
What’s the right way to install requests straight from the official tag zip?,4b30b918bc
